Openness,infogain,Conscientiousness,infogain,Extraversion,infogain,Agreeableness,infogain,Neuroticism,infogain
きかす,1.1725646170024362e-05,φ,1.05231542809614e-05,つ,1.3573305517544654e-05,やる,1.1732643838135992e-05,あに,1.3718323609523964e-05
険しい,1.1718736929178242e-05,守る,1.0520513299527856e-05,【,1.3476050717997623e-05,こりる,1.1521079551046753e-05,出す,1.3534017685445932e-05
として,1.1669641087008742e-05,こりる,1.0416073093266753e-05,？,1.3441702703786973e-05,読む,1.1447820531529374e-05,居る,1.3495083248771245e-05
つぶやく,1.1643228718938303e-05,組み合わせる,1.027503798922691e-05,意外と,1.3148830280695911e-05,終える,1.143692041138955e-05,どうぞ,1.3404556560514536e-05
もう,1.1522295393029403e-05,ので,1.026324634589848e-05,迷う,1.3055110063220354e-05,再,1.1399037822767966e-05,――,1.3328608208129644e-05
御意,1.1000266086580446e-05,ああ,1.0210757594331099e-05,役に立つ,1.274594719413713e-05,見直す,1.1373483859600242e-05,終える,1.2940632877267433e-05
そういう,1.0997380915367394e-05,決まる,9.930496734700256e-06,多い,1.2718025745539485e-05,けっこう,1.1364821999926278e-05,死ぬ,1.2707914730958336e-05
ひめる,1.0953413737913031e-05,煙る,9.891053342703238e-06,や,1.2366682954123576e-05,かわいい,1.1360918235059358e-05,＋,1.2618742536218974e-05
死ぬ,1.0884917262976579e-05,むっつり,9.81167030666974e-06,決まる,1.2266706703289998e-05,すい,1.1295322402071761e-05,っていう,1.2496313005039283e-05
塗る,1.0843642278657306e-05,たい,9.800286137062741e-06,かも,1.2153953523608152e-05,ひめる,1.1258565726701697e-05,ぶらり,1.2369342135221117e-05
ぬくぬく,1.0801417143158076e-05,そういや,9.73792660385886e-06,て,1.2083768924586735e-05,あさる,1.1217098630944555e-05,→,1.2254272656164744e-05
しかし,1.0669590884138103e-05,やん,9.668161026654687e-06,●,1.2075852283355282e-05,っていう,1.1085412150779739e-05,聴く,1.221874688639435e-05
ぽい,1.0656855574109336e-05,いみい,9.621228099887524e-06,しつける,1.1990515229709509e-05,手堅い,1.1078964581190398e-05,どる,1.2172261160903197e-05
ぜひ,1.0514580759513059e-05,え,9.491458426769128e-06,険しい,1.1958708417525443e-05,塗る,1.1078372647688184e-05,つぶやく,1.2162215708433344e-05
